id_jugador,nombre_usuario,pais,fecha_registro
1,cardozovictoria,Papua Nueva Guinea,6/20/2024
2,sofia24,Brasil,2/18/2025
3,ramiro29,Timor-Leste,12/4/2023
4,lucerotiziano-valentin,Argentina,10/21/2020
5,matilda84,Zimbabwe,4/20/2025
6,luz-milagrosduarte,Uruguay,1/30/2025
7,gonzalezpaloma,Paraguay,8/24/2024
8,aruiz,Guinea,8/4/2022
9,therrera,Uruguay ,10/9/2024
10,jrojas,Benin,11/4/2024
11,romeroisabella,Bosnia y Herzegovina,8/14/2020
12,cgonzalez,Ecuador,11/29/2022
13,federico22,Camboya,2/16/2023
14,herrerapilar,Ucrania,7/30/2024
15,eblanco,,10/14/2020
16,efernandez,Belice,7/13/2023
17,floreselena,Bulgaria,12/23/2021
18,qlopez,,4/6/2023
19,felipemansilla,,10/24/2024
20,camposmartina,Dinamarca,7/5/2022
21,maidanatiziana,Suriname,2/23/2024
22,suarezisabella,Argentina,6/4/2021
23,mateo-agustin41,,9/7/2024
24,rodriguezgabriel,Chile,4/12/2025
25,pnunez,Liechtenstein,12/28/2022
26,quirogathiago-benjamin,Eritrea,10/15/2022
27,pmendez,Argentina,3/1/2024
28,gonzalezalma,Granada,3/5/2025
29,mcabrera,Mali,8/5/2020
30,ledesmamateo,Alemania,4/25/2021
31,vsuarez,Argentina,8/13/2021
32,mperez,Seychelles,3/3/2025
33,renzo02,Timor-Leste,3/18/2024
34,renatamunoz,Marruecos,8/5/2022
35,jcarrizo,Saint Kitts y Nevis,3/15/2024
36,milagrosnunez,El Salvador,4/26/2024
37,malenamansilla,Tonga,9/1/2023
38,ayalaian-benjamin,Myanmar,5/9/2021
39,xtorres,,4/9/2024
40,sofiamorales,Arabia Saudita,7/20/2022
41,emmaruiz,Swazilandia,9/5/2021
42,catalina24,Argentina,7/20/2021
43,maite49,Malta,12/29/2022
44,lopezlautaro,Libia,4/20/2022
45,lgimenez,Nauru,1/30/2021
46,ggonzalez,Myanmar,4/7/2023
47,mendezthiago-benjamin,Papua Nueva Guinea,8/9/2020
48,joaquinrojas,Montenegro,11/4/2022
49,pruiz,Argentina,1/14/2021
50,guadalupelopez,Argentina,7/13/2024
51,sosathiago,Argentina,8/1/2021
52,perezlucia,,1/10/2023
53,oliveralautaro-ezequiel,Jordania,3/12/2023
54,juan-gabriel09,Trinidad y Tabago,3/13/2024
55,lautaro66,Tonga,3/13/2021
56,bastiangonzalez,Argentina,11/6/2023
57,ledesmaclara,Argentina,2/10/2021
58,eacosta,Portugal,4/19/2021
59,lucamolina,Cuba,11/5/2024
60,benjamin72,Somalia,7/27/2020
61,munozmaia,Argentina,5/11/2023
62,alvarezemilia,Argentina,6/23/2024
63,rrodriguez,Benin,11/28/2020
64,villalbaamparo,Chile,10/8/2022
65,guzmanantonio,Dinamarca,2/28/2021
66,milena77,,12/24/2022
67,medinaagustin,Islas Marshall,4/8/2024
68,santiago-benjaminmolina,Argentina,3/8/2024
69,juan-david15,Tailandia,8/12/2023
70,agustin91,Argentina,12/1/2022
71,renatamedina,Saint Kitts y Nevis,7/24/2024
72,agustingimenez,Seychelles,11/7/2023
73,munozcamila,Argentina,2/8/2021
74,geronimo02,Colombia,3/28/2023
75,agustina29,Benin,6/3/2024
76,juan-manuel18,Argentina,9/13/2020
77,lautaro-benjamin40,,3/12/2023
78,biancachavez,Nauru,1/3/2022
79,qtorres,,7/5/2023
80,oliveraagustin,Argentina,11/19/2023
81,dgonzalez,Lituania,6/8/2021
82,rgimenez,,2/1/2024
83,mateo-joaquin84,Gambia,10/19/2020
84,milo84,Italia,12/10/2024
85,juan-ignacio89,Niger,6/18/2024
86,castrobenjamin,Mali,10/2/2021
87,caceresbenicio,Argentina,8/17/2021
88,fernandezsol,Argentina,12/12/2024
89,ortizjoaquin,Argentina,4/9/2023
90,qfernandez,Canada,10/13/2021
91,lopezzoe,Arabia Saudita,8/4/2020
92,ivanromero,Suriname,1/22/2023
93,herreradelfina,Argentina,6/6/2021
94,avilajoaquin,Marruecos,7/9/2023
95,cirogonzalez,Guinea Ecuatorial,4/23/2025
96,pedromartinez,Letonia,5/7/2022
97,wnunez,Argentina,12/22/2022
98,ambar62,Arabia Saudita,6/5/2025
99,morena38,Eslovenia,1/12/2025
100,aflores,Singapur,1/18/2023
101,lopezangelina,Argentina,9/19/2021
102,augustoaguero,Brunei Darussalam,12/2/2021
103,kgarcia,Dominicana,1/28/2024
104,chavezemma,Argentina,11/1/2022
105,eperez,Filipinas,9/27/2022
106,campospilar,Benin,5/25/2022
107,mmartinez,,1/21/2024
108,lucas-benjamingomez,Portugal,8/2/2021
109,pedrofarias,Tuvalu,2/19/2023
110,constanza07,Serbia,8/12/2022
111,dmoreno,Argentina,10/31/2022
